epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4035.21,1.72697,2.1498,1.36515,1.21416,0.5772,0.2246,0.22133,0.07473,0.71497,0.25408,0.30175,0.09575,2.50029,2.98087,1.97376,1.34741,0.00106181,0.00106181,0.00106181
31,4161.76,1.77871,2.19911,1.41368,1.2691,0.75902,0.27176,0.37306,0.13943,0.74425,0.25712,0.39929,0.12107,2.34254,2.65358,2.02536,1.31258,0.00101,0.00101,0.00101
32,4290.1,1.72783,2.09664,1.37766,1.22393,0.52388,0.42406,0.35931,0.15208,0.80705,0.33973,0.44832,0.14346,2.39345,2.77091,2.0475,1.29374,0.000958187,0.000958187,0.000958187
33,4416.77,1.70751,2.06131,1.34834,1.25325,0.48426,0.39784,0.33483,0.14551,0.58599,0.51499,0.45521,0.17221,2.50545,3.19674,1.88586,1.31095,0.000906517,0.000906517,0.000906517
34,4542.91,1.64864,1.95413,1.28895,1.2166,0.53669,0.41736,0.36932,0.15028,0.59609,0.50629,0.43329,0.14071,2.43104,3.04432,1.7981,1.37877,0.00085513,0.00085513,0.00085513
35,4669.75,1.68749,1.98751,1.36371,1.20567,0.75812,0.22722,0.39158,0.16813,0.71435,0.35878,0.43332,0.14079,2.32687,2.84539,1.70254,1.32185,0.000804167,0.000804167,0.000804167
36,4795.21,1.65163,2.17293,1.33371,1.18468,0.82647,0.20771,0.30999,0.11788,0.6926,0.36126,0.36972,0.14047,2.37642,3.26689,1.87487,1.2942,0.000753769,0.000753769,0.000753769
37,4928.93,1.66875,2.03118,1.33295,1.19204,0.90653,0.19849,0.38131,0.11468,0.63808,0.31736,0.30325,0.12115,2.25611,3.23578,1.7963,1.31559,0.000704073,0.000704073,0.000704073
38,5056.32,1.72623,2.04844,1.29204,1.22568,0.78983,0.2234,0.38436,0.12104,0.64258,0.30436,0.30655,0.10751,2.22849,2.96491,1.85452,1.32702,0.000655216,0.000655216,0.000655216
39,5181.02,1.71831,2.05794,1.27753,1.19922,0.79452,0.19519,0.33946,0.1502,0.5921,0.39378,0.42107,0.15104,2.48634,2.67839,1.87792,1.30715,0.000607331,0.000607331,0.000607331
40,5306.7,1.60787,1.96207,1.20538,1.15388,0.57053,0.29021,0.33617,0.15622,0.7322,0.39859,0.46311,0.16781,2.58625,2.64784,1.72357,1.31013,0.000560549,0.000560549,0.000560549
41,5456.57,1.58588,1.9641,1.29861,1.14096,0.62564,0.33093,0.40299,0.16858,0.68793,0.38508,0.46475,0.17285,2.47764,2.69886,1.69427,1.33183,0.000515,0.000515,0.000515
42,5579.88,1.60423,2.01155,1.23675,1.1261,0.62955,0.34556,0.42074,0.15742,0.76922,0.29378,0.4255,0.13215,2.35929,2.60642,1.73507,1.27988,0.000470807,0.000470807,0.000470807
43,5703.96,1.60865,2.07938,1.29207,1.13965,0.59462,0.36296,0.37321,0.14542,0.78895,0.32031,0.41842,0.12711,2.32759,2.57843,1.79392,1.27559,0.000428093,0.000428093,0.000428093
44,5831.22,1.57895,2.02417,1.1937,1.17121,0.66293,0.21451,0.3404,0.11535,0.70214,0.3889,0.41292,0.13795,2.43875,2.67248,1.97252,1.3116,0.000386973,0.000386973,0.000386973
